grade,model,skill,k,r,replicate
4,deepseek-chat,Measurement & Data,0,0.76,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.6521739130434784,0
4,deepseek-chat,Number & Operations—Fractions,0,0.6666666666666666,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,0
4,deepseek-chat,Measurement & Data,1,0.0,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,0
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,1
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,1
4,deepseek-chat,Measurement & Data,1,0.08000000000000006,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,2
4,deepseek-chat,Number & Operations—Fractions,0,0.5714285714285714,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,3
4,deepseek-chat,Number & Operations—Fractions,0,0.5714285714285714,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,4
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,4
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,0
4,deepseek-chat,Measurement & Data,0,0.36,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,1
4,deepseek-chat,Measurement & Data,0,0.36,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,2
4,deepseek-chat,Measurement & Data,0,0.36,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,3
4,deepseek-chat,Measurement & Data,0,0.36,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,4
4,deepseek-chat,Measurement & Data,1,0.0,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.4,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,1
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,1
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,2
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,3
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,4
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,4
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,0
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,0
4,deepseek-chat,Measurement & Data,0,0.44000000000000006,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,1
4,deepseek-chat,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,1
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,2
4,deepseek-chat,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,2
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,3
4,deepseek-chat,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,3
4,deepseek-chat,Measurement & Data,0,0.44000000000000006,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,4
4,deepseek-chat,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,4
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,0
4,deepseek-chat,Number & Operations—Fractions,1,0.0,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.3913043478260869,1
4,deepseek-chat,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,1
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,2
4,deepseek-chat,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.3913043478260869,3
4,deepseek-chat,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.3913043478260869,4
4,deepseek-chat,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,4
4,deepseek-chat,Measurement & Data,0,0.64,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,0
4,deepseek-chat,Number & Operations—Fractions,1,0.047619047619047575,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,0
4,deepseek-chat,Measurement & Data,0,0.6,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,1
4,deepseek-chat,Measurement & Data,0,0.64,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,2
4,deepseek-chat,Measurement & Data,0,0.6,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,3
4,deepseek-chat,Measurement & Data,0,0.6,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,4
4,deepseek-chat,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,4
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,Number & Operations—Fractions,1,0.0,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,0
4,deepseek-chat,Measurement & Data,1,0.0,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,1
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,1
4,deepseek-chat,Measurement & Data,1,0.0,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,2
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,2
4,deepseek-chat,Measurement & Data,1,0.0,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,3
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,3
4,deepseek-chat,Measurement & Data,1,0.0,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,4
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,4
4,deepseek-chat,Measurement & Data,0,0.36,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,0
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,Measurement & Data,0,0.24000000000000007,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,1
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,0,0.28,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,2
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,0,0.28,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,3
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,0,0.32,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,4
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,1,0.0,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,0
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,0
4,deepseek-chat,Operations & Algebraic Thinking,1,-0.049999999999999954,0
4,deepseek-chat,Measurement & Data,1,0.0,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,1
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,1,0.0,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,2
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,1,0.0,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.3913043478260869,3
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,1,0.0,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.3478260869565218,4
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.050000000000000086,0
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,1
4,deepseek-chat,Number & Operations—Fractions,0,0.23809523809523814,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,0,0.44000000000000006,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,2
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,0,0.44000000000000006,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,3
4,deepseek-chat,Number & Operations—Fractions,0,0.23809523809523814,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,4
4,deepseek-chat,Number & Operations—Fractions,0,0.23809523809523814,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,1,0.0,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,0,0.32,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,0
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,Measurement & Data,0,0.36,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,1
4,deepseek-chat,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,2
4,deepseek-chat,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,3
4,deepseek-chat,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,4
4,deepseek-chat,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.4782608695652174,0
4,deepseek-chat,Number & Operations—Fractions,1,0.0,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,Measurement & Data,1,0.0,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,1
4,deepseek-chat,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
4,deepseek-chat,Measurement & Data,1,0.0,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,2
4,deepseek-chat,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,2
4,deepseek-chat,Measurement & Data,1,0.0,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,3
4,deepseek-chat,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,3
4,deepseek-chat,Measurement & Data,1,0.0,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,4
4,deepseek-chat,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.0,4
4,deepseek-chat,Measurement & Data,0,0.44000000000000006,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,0
4,deepseek-chat,Operations & Algebraic Thinking,1,0.10000000000000003,0
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,1
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,1
4,deepseek-chat,Operations & Algebraic Thinking,1,0.10000000000000003,1
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,2
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,2
4,deepseek-chat,Operations & Algebraic Thinking,1,0.10000000000000003,2
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,3
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,3
4,deepseek-chat,Operations & Algebraic Thinking,1,0.10000000000000003,3
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0869565217391305,4
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,4
4,deepseek-chat,Operations & Algebraic Thinking,1,0.10000000000000003,4
4,gpt-4o,Measurement & Data,0,0.6470588235294118,0
4,gpt-4o,Number & Operations in Base Ten,0,0.6666666666666666,0
4,gpt-4o,Number & Operations—Fractions,0,0.8,0
4,gpt-4o,Operations & Algebraic Thinking,0,0.75,0
4,gpt-4o,Measurement & Data,1,0.11764705882352951,0
4,gpt-4o,Number & Operations in Base Ten,0,0.7333333333333333,0
4,gpt-4o,Number & Operations—Fractions,0,0.7000000000000001,0
4,gpt-4o,Operations & Algebraic Thinking,0,0.9375,0
4,gpt-4o,Measurement & Data,1,0.11764705882352951,1
4,gpt-4o,Number & Operations in Base Ten,0,0.8666666666666667,1
4,gpt-4o,Number & Operations—Fractions,0,0.8,1
4,gpt-4o,Operations & Algebraic Thinking,0,0.75,1
4,gpt-4o,Measurement & Data,1,0.0,2
4,gpt-4o,Number & Operations in Base Ten,0,0.8,2
4,gpt-4o,Number & Operations—Fractions,0,0.8,2
4,gpt-4o,Operations & Algebraic Thinking,0,0.8749999999999999,2
4,gpt-4o,Measurement & Data,1,0.05882352941176466,3
4,gpt-4o,Number & Operations in Base Ten,0,0.8,3
4,gpt-4o,Number & Operations—Fractions,0,0.75,3
